current_time,weather,temp,humidity
2025-08-11 06:45:25,Clouds,28.76,74
2025-08-11 07:41:12,Clouds,29.76,66
2025-08-11 07:55:41,Clouds,29.76,66
2025-08-11 08:57:11,Clouds,29.76,66
2025-08-11 09:49:28,Clouds,27.76,74
2025-08-11 09:58:05,Clouds,27.76,74
2025-08-11 10:51:23,Clouds,27.76,78
2025-08-11 10:59:42,Clouds,27.76,78
2025-08-11 11:33:40,Clouds,26.76,83
2025-08-11 11:47:24,Clouds,26.76,83
2025-08-11 11:55:40,Clouds,26.76,83
2025-08-11 13:51:38,Clear,24.76,88
2025-08-11 14:49:19,Clear,24.76,88
2025-08-11 14:59:35,Clear,24.76,88
2025-08-11 15:45:51,Clear,23.76,100
2025-08-11 15:59:11,Clear,23.76,100
2025-08-11 16:55:57,Clouds,22.76,100
2025-08-11 17:44:25,Mist,22.76,100
2025-08-11 17:55:37,Mist,22.76,100
2025-08-11 18:57:45,Mist,22.76,100
2025-08-11 19:31:34,Mist,20.76,100
2025-08-11 19:45:32,Mist,20.76,100
2025-08-11 19:53:56,Mist,20.76,100
2025-08-11 20:38:31,Mist,20.76,100
2025-08-11 20:52:39,Mist,20.76,100
2025-08-11 21:30:22,Mist,20.76,100
2025-08-11 21:44:22,Mist,20.76,100
2025-08-11 21:52:58,Mist,20.76,100
2025-08-11 22:39:55,Mist,23.76,100
2025-08-11 22:51:22,Mist,23.76,100
2025-08-11 22:59:39,Mist,23.76,100
2025-08-11 23:33:24,Mist,26.76,78
2025-08-11 23:46:04,Mist,26.76,78
2025-08-11 23:54:27,Mist,26.76,78
2025-08-12 03:39:57,Clear,31.76,48
2025-08-12 04:46:23,Clouds,32.76,43
2025-08-12 05:00:28,Clouds,32.76,43
2025-08-12 05:42:26,Clouds,32.76,46
2025-08-12 05:52:13,Clouds,32.76,46
2025-08-12 06:55:35,Clouds,33.76,43
2025-08-12 07:37:48,Clear,34.76,34
2025-08-12 07:49:16,Clear,34.76,34
2025-08-12 07:57:38,Clear,34.76,34
2025-08-12 08:54:26,Clear,33.76,40
2025-08-12 09:40:29,Clear,31.76,45
2025-08-12 09:52:38,Clear,31.76,45
2025-08-12 10:46:07,Clear,30.76,55
2025-08-12 10:56:02,Clear,30.76,55
2025-08-12 11:30:57,Clear,28.76,61
2025-08-12 11:45:14,Clear,28.76,61
2025-08-12 11:53:26,Clear,28.76,61
2025-08-12 13:46:13,Clear,26.76,74
2025-08-12 13:59:15,Clear,26.76,74
2025-08-12 14:48:19,Clear,25.76,78
2025-08-12 14:57:45,Clear,25.76,78
2025-08-12 15:42:36,Clear,25.76,83
2025-08-12 15:57:07,Clear,25.76,83
2025-08-12 16:54:37,Clouds,26.76,78
2025-08-12 17:41:02,Clouds,23.76,100
2025-08-12 17:53:09,Clouds,23.76,100
2025-08-12 18:55:05,Clouds,24.76,100
2025-08-12 19:27:54,Clouds,24.76,100
2025-08-12 19:43:09,Clouds,24.76,100
2025-08-12 19:51:25,Rain,24.76,100
2025-08-12 19:59:49,Rain,24.76,100
2025-08-12 20:42:09,Thunderstorm,23.76,100
2025-08-12 20:55:17,Thunderstorm,23.76,100
2025-08-12 21:34:04,Thunderstorm,23.76,100
2025-08-12 21:46:27,Rain,23.76,100
2025-08-12 21:54:41,Rain,23.76,100
2025-08-12 22:39:51,Rain,23.76,100
2025-08-12 22:51:34,Rain,23.76,100
2025-08-12 22:59:39,Rain,23.76,100
2025-08-12 23:33:59,Rain,24.76,100
2025-08-12 23:46:38,Rain,24.76,100
2025-08-12 23:54:51,Rain,24.76,100
2025-08-13 03:41:56,Clouds,23.76,100
2025-08-13 04:51:51,Rain,27.76,100
2025-08-13 05:43:10,Rain,27.76,100
2025-08-13 05:54:31,Rain,27.76,100
2025-08-13 06:56:36,Rain,26.76,100
2025-08-13 07:38:45,Rain,26.76,100
2025-08-13 07:50:26,Rain,26.76,100
2025-08-13 07:58:53,Rain,26.76,100
2025-08-13 08:56:12,Clouds,26.76,100
2025-08-13 09:41:28,Rain,25.76,100
2025-08-13 09:54:18,Rain,25.76,100
2025-08-13 10:46:45,Rain,23.76,100
2025-08-13 10:56:25,Rain,23.76,100
2025-08-13 11:31:27,Rain,24.76,100
2025-08-13 11:46:39,Rain,24.76,100
2025-08-13 11:55:14,Rain,24.76,100
2025-08-13 13:48:28,Clouds,23.76,100
2025-08-13 14:01:08,Rain,23.76,100
2025-08-13 14:49:06,Clouds,24.76,100
2025-08-13 14:58:08,Clouds,24.76,100
